Name, #Commits, #Contributors, #Languages, #Brench, #Forks, #Stars, #Releases, #Pull request, #Iusses
awesome-service-workers, 61, 5, 0, 1, 75, 1614, 0, 5, 5
awesome-cold-showers, 28, 5, 0, 1, 74, 6519, 0, 1, 11
awesome-ios-chart, 59, 3, 0, 1, 235, 1509, 0, 0, 1
AwesomeQRCode, 84, 1, 2, 2, 254, 1795, 8, 3, 20
awesome-mongodb, 160, 54, 0, 1, 273, 2101, 0, 0, 0
ViewPagerLayoutManager, 122, 2, 1, 1, 312, 1717, 22, 1, 56
machine-learning-with-ruby, 179, 12, 1, 1, 158, 1856, 0, 2, 5
awesome-streaming, 145, 41, 0, 3, 257, 2178, 0, 0, 3
awesome-deepbio, 138, 17, 0, 1, 296, 1754, 0, 1, 4
awesome-human-pose-estimation, 45, 6, 0, 1, 408, 2250, 0, 4, 5
awesome-terraform, 440, 123, 0, 2, 613, 3948, 0, 1, 3
planetary.js, 139, 4, 3, 2, 188, 1570, 15, 1, 15
awesome-hand-pose-estimation, 395, 25, 2, 1, 504, 2588, 0, 2, 6
awesome-ocr, 172, 28, 0, 1, 315, 2246, 0, 2, 44
awesome-dot-net-performance, 112, 41, 0, 1, 248, 2875, 0, 1, 6
awesome-vehicle-security, 214, 44, 0, 1, 476, 2309, 0, 0, 3
awesome-embedded-rust, 810, 163, 0, 3, 269, 4053, 0, 1, 18
PEASS-ng, 1381, 56, 6, 3, 2482, 11135, 84, 1, 12
freeCodeCamp, 32261, 397, 8, 9, 30284, 359940, 0, 37, 169
vue, 3545, 349, 5, 13, 32956, 201965, 245, 255, 612
react, 15461, 424, 10, 88, 41097, 200989, 99, 245, 1157
bootstrap, 22201, 366, 5, 89, 75778, 161482, 83, 95, 348
You-Dont-Know-JS, 1879, 173, 0, 5, 29874, 163777, 0, 48, 131
electron, 27013, 383, 12, 370, 13977, 105566, 1119, 101, 1023
axios, 1402, 399, 4, 6, 9972, 98423, 50, 38, 356
node, 38039, 444, 13, 43, 24644, 92914, 325, 387, 1699
free-programming-books-zh_CN, 922, 121, 0, 1, 23860, 98934, 3, 25, 25
angular, 26120, 390, 10, 101, 22382, 86013, 237, 167, 1337
three.js, 40992, 363, 4, 11, 32978, 88424, 140, 137, 506
TypeScript, 34281, 354, 4, 254, 11204, 87886, 166, 249, 6036
material-ui, 21210, 421, 3, 29, 28725, 84147, 392, 190, 1316
30-seconds-of-code, 5491, 251, 1, 1, 10710, 107064, 4, 0, 0
webpack, 15213, 408, 9, 104, 8459, 62420, 382, 162, 349
jquery, 6594, 290, 4, 5, 20399, 57126, 5, 23, 101
redux, 3643, 427, 3, 9, 15023, 59177, 67, 15, 59
atom, 38533, 330, 8, 140, 17986, 59050, 540, 33, 1002
Chart.js, 4401, 425, 4, 7, 11396, 59601, 100, 10, 199
express, 5753, 272, 3, 8, 9909, 59684, 147, 51, 171
deno, 8557, 437, 6, 58, 4652, 87479, 209, 73, 1092
storybook, 47494, 363, 12, 272, 7962, 76248, 1129, 47, 1947
element, 4581, 408, 5, 7, 14229, 53024, 143, 243, 2419
html5-boilerplate, 2434, 244, 2, 4, 11865, 53920, 32, 3, 11
lodash, 8005, 287, 1, 8, 6715, 55454, 2, 158, 461
moment, 3980, 405, 3, 37, 7032, 47176, 0, 54, 252
nodebestpractices, 3756, 218, 6, 89, 8566, 85391, 0, 13, 34
meteor, 33387, 369, 16, 1493, 5105, 43247, 0, 45, 226
ionic-framework, 12183, 399, 10, 203, 13517, 48536, 519, 16, 512
Front-End-Checklist, 697, 107, 0, 2, 5149, 63861, 1, 2, 8
yarn, 2353, 444, 5, 78, 2820, 41039, 150, 147, 1958
materialize, 3878, 245, 3, 24, 4682, 38767, 41, 176, 798
freecodecamp.cn, 8845, 288, 3, 8, 1363, 36498, 0, 11, 151
nw.js, 4892, 109, 10, 89, 3887, 39389, 0, 8, 885
babel, 15619, 420, 7, 15, 5451, 41837, 333, 164, 796
prettier, 7041, 441, 9, 12, 3617, 44700, 93, 237, 1149
serverless, 15574, 360, 7, 13, 5356, 44121, 354, 49, 998
parcel, 2868, 368, 19, 154, 2184, 41900, 25, 84, 757
awesome-nodejs, 838, 330, 0, 1, 5329, 49046, 0, 14, 14
anime, 736, 43, 1, 5, 3602, 44225, 14, 18, 191
awesome-interview-questions, 449, 137, 0, 4, 6604, 52835, 0, 16, 19
Ghost, 32537, 379, 6, 45, 8830, 42295, 619, 54, 86
hyper, 3395, 259, 6, 24, 3239, 40141, 85, 33, 868
project-based-learning, 567, 98, 0, 1, 11986, 87597, 0, 13, 34
33-js-concepts, 595, 114, 1, 2, 6466, 54339, 0, 56, 70
brackets, 17847, 315, 13, 178, 7607, 33499, 69, 169, 2788
jest, 6682, 435, 6, 9, 6140, 41197, 186, 115, 924
pdf.js, 16749, 358, 4, 2, 8814, 41199, 47, 21, 355
hexo, 3585, 165, 2, 5, 4363, 36056, 107, 9, 78
fullPage.js, 2125, 131, 3, 8, 7379, 34339, 83, 20, 176
immutable-js, 1708, 203, 4, 8, 1826, 32439, 65, 23, 120
pixijs, 6310, 380, 4, 58, 4623, 38673, 185, 11, 128
clipboard.js, 396, 54, 3, 13, 4058, 32891, 42, 8, 14
video.js, 3898, 378, 4, 15, 7145, 34902, 271, 27, 403
Leaflet, 7562, 379, 5, 26, 5381, 36646, 30, 121, 476
phaser, 18371, 381, 3, 7, 6843, 33495, 133, 4, 75
async, 1883, 230, 4, 12, 2405, 27793, 7, 10, 21
Rocket.Chat, 22691, 374, 11, 489, 7851, 34623, 731, 572, 3454
nest, 12287, 345, 3, 165, 6371, 53785, 77, 106, 160
gold-miner, 11425, 333, 0, 1, 4786, 31803, 0, 2, 5
underscore, 2830, 262, 2, 7, 5360, 26751, 0, 18, 48
taro, 9006, 358, 11, 43, 4313, 32168, 139, 40, 951
vuetify, 11837, 439, 8, 80, 6541, 36326, 457, 92, 1242
nylas-mail, 6116, 90, 9, 3, 1451, 24713, 53, 27, 1008
select2, 2649, 402, 3, 6, 6209, 25504, 29, 15, 83
Modernizr, 2612, 275, 5, 7, 2997, 25394, 25, 24, 189
front-end-interview-handbook, 611, 150, 2, 3, 4837, 36496, 0, 0, 13
strapi, 26543, 369, 5, 75, 6166, 51425, 262, 85, 408
standard, 1947, 165, 2, 11, 2330, 27862, 4, 12, 98
carbon, 1845, 176, 2, 9, 1778, 31821, 215, 12, 41
vuex, 1208, 311, 2, 14, 9482, 27941, 51, 42, 125
fetch, 654, 63, 2, 6, 2978, 25580, 38, 11, 50
iview, 3031, 151, 3, 35, 4192, 24026, 85, 112, 1223
uppy, 9154, 350, 11, 57, 1767, 26337, 48, 26, 110
lerna, 2491, 295, 5, 20, 2254, 34169, 205, 18, 327
open-source-mac-os-apps, 1264, 275, 0, 5, 2087, 33868, 0, 35, 74
date-fns, 1930, 358, 3, 24, 1568, 30781, 105, 135, 520
webtorrent, 3268, 158, 2, 4, 2599, 27429, 90, 7, 91
mobx, 3180, 285, 5, 16, 1686, 26073, 82, 11, 30
rxjs, 5197, 432, 6, 16, 2848, 28306, 0, 47, 254
sequelize, 9825, 382, 3, 43, 4017, 27350, 437, 78, 831
particles.js, 235, 13, 1, 2, 4631, 26760, 6, 55, 346
layui, 824, 36, 2, 2, 7039, 26777, 68, 1, 8
ember.js, 21952, 344, 4, 59, 4221, 22380, 477, 81, 449
tesseract.js, 681, 64, 2, 17, 1954, 29340, 38, 12, 34
hammer.js, 1199, 78, 3, 9, 2613, 23368, 0, 34, 307
project-guidelines, 169, 66, 1, 4, 3157, 28438, 0, 3, 13
sheetjs, 769, 178, 6, 3, 7258, 32110, 0, 11, 123
sweetalert, 363, 61, 5, 10, 2306, 22199, 13, 29, 187
flow, 15146, 360, 12, 177, 1835, 21936, 279, 77, 2167
uni-app, 10097, 199, 5, 12, 3391, 37599, 0, 16, 1088
html2canvas, 1066, 45, 4, 6, 3935, 27441, 45, 58, 871
uBlock, 10391, 99, 7, 4, 2228, 34131, 265, 1, 14
react-starter-kit, 41, 6, 4, 8, 4021, 21690, 5, 1, 2
coding-interview-university, 2315, 278, 0, 1, 59954, 245172, 0, 12, 51
the-art-of-command-line, 1208, 149, 0, 2, 12388, 126403, 0, 105, 204
animate.css, 662, 115, 4, 13, 16095, 76894, 22, 24, 45
computer-science, 991, 127, 0, 5, 16586, 131310, 0, 0, 14
LeetCodeAnimation, 246, 16, 3, 1, 13492, 72203, 0, 0, 16
FiraCode, 571, 106, 8, 2, 2928, 68335, 29, 4, 353
crayon, 118, 6, 3, 3, 56, 780, 0, 1, 17
AESCrypt-ObjC, 12, 3, 1, 1, 211, 781, 0, 5, 18
CA360, 45, 1, 2, 2, 120, 725, 0, 0, 1
grunt-contrib-connect, 267, 39, 1, 3, 148, 719, 2, 2, 32
select2-bootstrap-css, 88, 6, 5, 3, 192, 689, 0, 0, 5
grunt-contrib-less, 306, 56, 2, 4, 182, 678, 4, 2, 26
Chateau, 38, 3, 2, 2, 92, 671, 0, 0, 7
cgrep, 716, 9, 19, 3, 38, 701, 1, 0, 3
awesome-cpp, 1574, 330, 0, 2, 6522, 43184, 0, 70, 421
vue-cli, 3531, 461, 7, 21, 6349, 29549, 177, 140, 1025
swift-algorithm-club, 2534, 246, 4, 11, 4713, 27323, 0, 29, 58
Charts, 1787, 141, 5, 7, 5404, 26359, 36, 92, 906
awesome-react-components, 860, 224, 0, 2, 2842, 34283, 0, 1, 1
cheerio, 2356, 125, 2, 2, 1471, 25865, 57, 1, 11
grpc, 52495, 323, 23, 215, 9541, 36855, 225, 209, 788
angular-cli, 10110, 427, 10, 18, 12004, 25906, 563, 8, 213
composer, 12032, 387, 1, 3, 6424, 27294, 171, 16, 133
ItChat, 188, 16, 1, 2, 4918, 22770, 13, 15, 258
imgui, 7180, 313, 7, 13, 7442, 44921, 82, 138, 828
codemirror5, 7135, 416, 4, 7, 4838, 25630, 166, 26, 412
vim, 17547, 168, 34, 1, 4524, 29429, 0, 149, 1358
ReactiveCocoa, 8656, 205, 4, 13, 3471, 19974, 83, 3, 5
calculator, 784, 86, 5, 38, 4685, 26565, 0, 16, 291
components, 10506, 439, 7, 87, 6320, 23285, 343, 136, 1845
cypress, 19339, 403, 10, 1967, 2657, 42411, 294, 62, 2856
interactive-coding-challenges, 790, 40, 2, 2, 4185, 26783, 0, 37, 70
the-swift-programming-language-in-chinese, 2511, 209, 2, 14, 4981, 20704, 1, 1, 10
FFmpeg, 109662, 306, 15, 33, 8947, 33750, 0, 1, 1
consul, 19457, 358, 10, 772, 4161, 25928, 126, 188, 1206
awesome-python-cn, 213, 31, 1, 2, 7007, 25658, 0, 10, 19
obs-studio, 12116, 415, 12, 10, 6370, 45090, 173, 248, 688
cheat.sh, 901, 48, 7, 9, 1624, 34507, 0, 12, 110
json, 4522, 238, 9, 9, 5674, 33402, 43, 33, 81
docker-cheat-sheet, 432, 93, 0, 2, 4224, 21337, 0, 1, 6
cockroach, 77010, 332, 22, 247, 3296, 26469, 0, 852, 6061
CodeIgniter, 10336, 352, 7, 4, 7391, 18191, 0, 19, 50
corefx, 4, 3, 0, 15, 5071, 17856, 113, 0, 0
commander.js, 1193, 157, 2, 11, 1658, 24121, 72, 1, 5
homebrew-cask, 165709, 398, 3, 1, 9987, 19726, 81, 14, 32
the-super-tiny-compiler, 13, 5, 1, 1, 2447, 24512, 0, 11, 11
architecture-components-samples, 634, 61, 4, 26, 8147, 22544, 0, 39, 185
Real-Time-Voice-Cloning, 295, 16, 1, 1, 6847, 38860, 0, 4, 84
caniusepython3, 593, 41, 1, 1, 61, 411, 3, 1, 8
CreditsRoll, 5, 1, 3, 1, 61, 413, 1, 0, 1
capistrano-unicorn, 148, 24, 1, 1, 109, 405, 0, 6, 19
couchrest, 617, 27, 0, 4, 60, 402, 0, 0, 7
fishbone.js, 74, 3, 2, 1, 27, 401, 0, 2, 5
gulp-docs-zh-cn, 68, 6, 0, 2, 60, 407, 0, 0, 3
papa-carlo, 162, 3, 3, 2, 25, 434, 0, 0, 6
Curassow, 159, 8, 3, 6, 34, 397, 13, 2, 5
gank.io-unofficial-android-client, 128, 1, 1, 2, 78, 388, 1, 0, 0
ObjQREncoder, 3, 2, 2, 1, 103, 392, 0, 2, 9
realm-swift, 12050, 129, 8, 147, 2094, 15717, 244, 45, 408
eShopOnContainers, 4097, 158, 12, 34, 9426, 22359, 10, 22, 46
Carthage, 4336, 179, 4, 15, 1590, 14732, 76, 18, 182
blessed-contrib, 408, 47, 1, 5, 886, 15031, 0, 11, 88
css-modules, 69, 19, 0, 2, 556, 16585, 0, 13, 122
WeChatPlugin-MacOS, 1, 1, 6, 2, 2231, 13121, 15, 3, 134
core, 4018, 305, 2, 7, 4692, 18545, 192, 11, 427
fmdb, 624, 77, 5, 11, 2724, 13726, 5, 39, 268
chromeless, 559, 42, 2, 22, 593, 13243, 7, 26, 198
core-js, 4964, 107, 3, 8, 1339, 17882, 218, 4, 26
Screenshot-to-code, 178, 6, 4, 2, 1385, 13913, 0, 3, 20
python-cheatsheet, 2315, 10, 4, 1, 5571, 31538, 0, 19, 26
CheatSheetSeries, 1540, 302, 5, 3, 3214, 22755, 0, 1, 28
cool-retro-term, 787, 58, 6, 15, 750, 18173, 8, 22, 414
radare2, 29712, 361, 24, 48, 2756, 17440, 86, 20, 839
awesome-computer-vision, 206, 30, 0, 1, 3670, 17671, 0, 49, 68
Front-End-Performance-Checklist, 216, 44, 0, 1, 995, 15508, 0, 8, 18
react-canvas, 84, 15, 1, 1, 930, 12982, 0, 17, 81
awesome-cheatsheets, 733, 121, 6, 3, 5068, 32122, 0, 59, 82
RetroPie-Setup, 7331, 166, 7, 1, 1335, 9644, 32, 44, 97
raspberry-pi-os, 498, 50, 8, 3, 1189, 11966, 0, 3, 52
qt, 874, 36, 11, 1, 721, 9623, 0, 3, 362
awesome-raspberry-pi, 481, 125, 3, 1, 842, 10893, 0, 1, 3
poisontap, 41, 8, 3, 1, 999, 5878, 0, 5, 91
firmware, 1268, 17, 6, 4, 1621, 4740, 0, 0, 360
home-automation, 48, 1, 3, 1, 265, 3382, 0, 0, 11
documentation, 5032, 412, 6, 10, 1860, 4754, 1, 7, 29
pivpn, 939, 69, 1, 3, 530, 5762, 30, 2, 8
P4wnP1, 245, 7, 4, 3, 621, 3529, 1, 15, 115
blynk-library, 1918, 28, 7, 1, 1284, 3570, 34, 6, 21
coder, 82, 4, 6, 2, 282, 2412, 0, 5, 66
raspotify, 426, 20, 3, 2, 201, 4124, 74, 0, 1
raspberrypi, 195, 5, 4, 1, 460, 2558, 0, 5, 31
tensorflow-on-raspberry-pi, 79, 5, 1, 6, 500, 2202, 10, 1, 73
rpi-update, 200, 32, 1, 1, 223, 1938, 0, 4, 20
rpi-rgb-led-matrix, 897, 62, 6, 6, 922, 2967, 0, 33, 465
noobs, 390, 33, 18, 2, 441, 2166, 26, 14, 61
PiCAST, 178, 4, 2, 4, 264, 1730, 0, 10, 25
userland, 834, 87, 8, 3, 973, 1989, 0, 27, 101
gokrazy, 269, 18, 5, 2, 93, 2574, 0, 1, 23
audio-reactive-led-strip, 209, 12, 2, 5, 507, 2458, 0, 6, 104
RF24, 910, 75, 5, 6, 938, 1981, 30, 3, 13
node-sonos-http-api, 524, 56, 3, 10, 439, 1727, 5, 22, 185
BerryNet, 387, 7, 5, 12, 233, 1571, 9, 9, 20
heimcontrol.js, 157, 7, 3, 2, 310, 1415, 0, 6, 64
awesome-raspberry-pi-zh, 11, 3, 0, 1, 329, 2015, 0, 0, 0
Adafruit-Raspberry-Pi-Python-Code, 170, 30, 0, 2, 660, 1409, 0, 0, 0
crankshaft, 681, 12, 4, 9, 234, 1871, 46, 3, 56
go-rpio, 113, 14, 1, 1, 209, 1975, 13, 10, 36
pibakery, 86, 12, 5, 2, 156, 1473, 15, 4, 71
OctoPi, 662, 48, 3, 33, 325, 2149, 16, 2, 105
WiringPi, 181, 21, 5, 2, 989, 2075, 1, 26, 50
rpi_ws281x, 266, 62, 4, 3, 535, 1634, 0, 8, 93
picamera, 929, 21, 2, 8, 331, 1506, 0, 27, 272
mraa, 1812, 109, 7, 39, 553, 1300, 0, 24, 183
.github, 6, 1, 0, 1, 0, 0, 0, 0, 0
LCD-show, 371, 2, 6, 2, 635, 1909, 0, 9, 221
Debian-Pi-Aarch64, 1909, 2, 2, 1, 365, 2594, 0, 0, 5
nextcloudpi, 1543, 53, 7, 26, 263, 1907, 22, 18, 116
gpiozero, 1493, 48, 2, 3, 269, 1645, 0, 9, 130
PiFmRds, 79, 7, 3, 2, 297, 1278, 0, 11, 80
rpi-open-firmware, 159, 8, 7, 5, 100, 1087, 0, 1, 18
Adafruit_Python_DHT, 77, 19, 3, 4, 950, 1085, 1, 0, 0
raspberry-pi-dramble, 397, 10, 3, 5, 255, 1647, 0, 1, 15
raspberry_pwn, 59, 10, 11, 2, 189, 987, 0, 2, 8
goSecure, 50, 4, 5, 3, 176, 948, 0, 3, 6
docker-homebridge, 430, 15, 2, 1, 212, 2322, 57, 0, 7
Raspberry-Pi, 3, 1, 0, 1, 64, 921, 0, 0, 0
IOTstack, 185, 15, 2, 3, 267, 1459, 0, 17, 103
image-builder-rpi, 640, 16, 4, 1, 167, 1063, 94, 2, 47
docker-arm, 141, 4, 6, 2, 107, 875, 2, 1, 10
dockerpi, 53, 6, 2, 2, 131, 1487, 0, 2, 34
TensorFlow-Object-Detection-on-the-Raspberry-Pi, 63, 3, 1, 1, 349, 1085, 0, 0, 61
codebuilds, 20628, 292, 4, 4, 56, 1042, 27, 9, 73
raspi3-tutorial, 128, 12, 2, 1, 298, 2347, 0, 0, 0
Adafruit-Pi-Finder, 266, 4, 3, 2, 81, 841, 10, 0, 33
groundcontrol, 52, 7, 4, 2, 50, 770, 1, 0, 8
Raspberry-Pi-Looper-synth-drum-thing, 17, 2, 1, 1, 100, 933, 0, 0, 6
RaspiBolt, 4, 1, 1, 2, 0, 1, 0, 0, 0
RaspberryPiPkg, 189, 7, 5, 1, 145, 748, 0, 0, 2
PiR.tv, 54, 4, 3, 2, 202, 748, 0, 1, 4
chilipie-kiosk, 163, 13, 2, 1, 149, 1229, 14, 0, 60
pigpio, 363, 36, 9, 4, 343, 1224, 6, 10, 52
self_driving_pi_car, 246, 3, 2, 3, 75, 758, 0, 0, 0
pi-gpio, 42, 5, 1, 2, 116, 712, 0, 3, 21
farmbot_os, 6530, 17, 7, 4, 251, 949, 291, 0, 20
k8s-on-raspbian, 42, 7, 1, 1, 6, 14, 0, 0, 0
pi64, 86, 2, 4, 4, 131, 710, 7, 3, 52
pi_piper, 277, 12, 1, 4, 73, 700, 1, 3, 34
WOA-Deployer-Rpi, 54, 3, 1, 1, 127, 955, 3, 2, 33
OpenVPN-Setup, 153, 2, 1, 3, 139, 763, 1, 5, 47
PiAUISuite, 96, 7, 6, 1, 211, 697, 0, 7, 80
fbcp-ili9341, 347, 13, 5, 7, 204, 1285, 0, 12, 96
SweetSecurity, 99, 2, 4, 2, 190, 754, 0, 3, 40
node-rpio, 251, 9, 4, 12, 115, 836, 0, 14, 49
py-videocore, 392, 12, 1, 3, 86, 760, 0, 0, 5
self_drive, 39, 1, 1, 1, 256, 897, 0, 0, 0
sitewhere, 2659, 15, 3, 59, 370, 922, 34, 4, 120
rpi-firmware, 1070, 6, 6, 3, 167, 779, 0, 0, 25
raspberry-pi-turnkey, 75, 3, 4, 1, 84, 759, 4, 1, 11
chromium_os-raspberry_pi, 163, 5, 4, 5, 189, 1547, 20, 0, 12
pigpio, 304, 9, 4, 1, 85, 896, 0, 2, 7
RaspberryCast, 290, 10, 6, 4, 130, 844, 0, 2, 39
raspberrypiwireguard, 57, 6, 0, 1, 76, 818, 0, 1, 20
RasPlex, 28, 3, 2, 1, 84, 645, 22, 0, 119
freeswitch, 35506, 265, 43, 32, 976, 2140, 7, 203, 705
AlexaPiDEPRECATED, 45, 10, 2, 3, 230, 584, 0, 1, 6
RaspberryWechatPi, 9, 1, 3, 1, 218, 727, 0, 0, 1
gmrender-resurrect, 341, 17, 5, 3, 175, 763, 3, 8, 112
enclosure-picroft, 159, 18, 1, 7, 183, 774, 0, 5, 22
pimatic, 1730, 38, 3, 13, 147, 597, 2, 5, 204
balena-sound, 566, 43, 4, 13, 385, 2089, 0, 6, 105
diy-ipmi, 62, 3, 6, 3, 97, 856, 1, 1, 31
johnny-five, 3362, 130, 3, 17, 1760, 12899, 74, 4, 37
Arduino, 4339, 410, 8, 13, 12823, 14690, 36, 59, 315
Tasmota, 17360, 364, 18, 4, 4055, 19113, 98, 2, 13
Arduino, 7375, 250, 5, 7, 6037, 13355, 37, 108, 767
Marlin, 19085, 403, 16, 7, 13976, 14348, 55, 61, 700
esp8266_deauther, 773, 49, 7, 3, 2253, 11211, 18, 6, 110
gobot, 2710, 131, 3, 10, 979, 8075, 40, 11, 152
lowlevelprogramming-university, 219, 18, 0, 1, 565, 8131, 0, 0, 0
tinygo, 3027, 121, 9, 72, 692, 12191, 31, 108, 493
arduino-esp32, 1996, 461, 6, 19, 6177, 10013, 40, 64, 421
ArduinoJson, 1640, 24, 5, 6, 1028, 6000, 119, 0, 24
platformio-core, 6206, 71, 5, 6, 725, 6544, 121, 4, 168
WiFiManager, 1245, 71, 6, 13, 1598, 5620, 6, 37, 510
FastLED, 1720, 117, 5, 10, 1426, 5674, 12, 40, 393
cylon, 1324, 18, 2, 3, 370, 3956, 0, 3, 47
grbl, 638, 26, 3, 4, 2029, 4886, 0, 14, 500
Arduino-IRremote, 754, 57, 2, 2, 1603, 3845, 29, 0, 0
i2cdevlib, 698, 88, 6, 1, 7384, 3537, 0, 1, 246
pubsubclient, 206, 33, 4, 3, 1222, 3503, 9, 56, 504
usb-serial-for-android, 241, 28, 3, 1, 1353, 3867, 23, 0, 27
arduino-cli, 2226, 69, 4, 41, 327, 3724, 121, 22, 246
grbl, 699, 27, 3, 1, 1295, 3512, 6, 28, 425
wasm3, 1659, 54, 13, 3, 361, 5788, 7, 10, 47
PJON, 2947, 41, 3, 2, 238, 2678, 33, 4, 58
Adafruit_NeoPixel, 397, 67, 2, 6, 1116, 2717, 50, 17, 74
esp-link, 716, 36, 10, 7, 669, 2558, 31, 11, 216
rfid, 516, 68, 1, 1, 1247, 2427, 27, 2, 14
Arduino_STM32, 1484, 101, 18, 15, 1148, 2341, 2, 21, 39
Arduino-Makefile, 754, 74, 4, 3, 435, 1958, 9, 15, 99
OpenMQTTGateway, 1131, 93, 4, 7, 603, 2832, 41, 7, 99
Stino, 297, 24, 1, 4, 244, 1593, 0, 6, 95
nerd, 989, 17, 4, 4, 128, 3392, 0, 1, 10
DHT-sensor-library, 145, 32, 1, 3, 1341, 1762, 23, 13, 22
IRremoteESP8266, 1122, 100, 5, 4, 703, 2333, 62, 3, 28
rc-switch, 180, 24, 1, 1, 571, 1686, 6, 39, 284
noduino, 34, 6, 2, 2, 227, 1221, 0, 1, 22
HID, 500, 18, 3, 1, 348, 2021, 19, 8, 76
esp8266-oled-ssd1306, 365, 44, 5, 2, 560, 1778, 19, 2, 17
Sming, 2053, 86, 19, 7, 332, 1333, 41, 6, 90
Arduino-PID-Library, 16, 3, 1, 1, 925, 1617, 2, 21, 75
homie-esp8266, 651, 49, 5, 8, 289, 1327, 14, 7, 84
arduino, 563, 47, 3, 14, 486, 1396, 15, 11, 83
ino, 140, 8, 3, 2, 218, 1085, 0, 32, 159
USB_Host_Shield_2.0, 1448, 48, 2, 10, 706, 1561, 0, 10, 217
arduinoWebSockets, 418, 46, 6, 11, 491, 1631, 23, 10, 200
aREST, 323, 8, 2, 3, 269, 1157, 29, 17, 98
Arduino, 1484, 22, 3, 1, 3372, 1277, 15, 0, 0
Adafruit_SSD1306, 249, 34, 5, 4, 813, 1505, 40, 23, 59
Low-Power, 35, 4, 1, 1, 310, 1212, 6, 16, 48
duino, 171, 9, 2, 2, 149, 956, 0, 17, 35
device-os, 12420, 76, 14, 411, 479, 1018, 150, 35, 35
keysweeper, 42, 4, 7, 1, 254, 1041, 0, 0, 6
TinyGSM, 1062, 32, 3, 2, 572, 1601, 25, 36, 248
u8glib, 1084, 10, 12, 2, 302, 1143, 0, 5, 160
WS2812FX, 174, 17, 2, 2, 303, 1404, 7, 0, 6
wifi_ducky, 80, 4, 5, 1, 283, 1170, 2, 1, 43
Arduino_Core_STM32, 2746, 127, 9, 2, 781, 2114, 30, 8, 26
EtherCard, 420, 52, 2, 4, 411, 974, 2, 13, 68
RF24, 214, 2, 8, 6, 563, 925, 0, 19, 90
aaduino, 18, 3, 1, 1, 73, 814, 0, 0, 0
ferret, 1644, 7, 1, 4, 45, 1026, 0, 4, 12
Time, 74, 18, 2, 1, 607, 1112, 4, 23, 84
arduino_midi_library, 434, 15, 5, 7, 219, 1351, 8, 9, 53
TFT_eSPI, 1046, 36, 5, 1, 734, 2356, 39, 2, 8
Open-Home-Automation, 142, 4, 2, 2, 186, 903, 0, 2, 13
ATTinyCore, 1600, 42, 8, 29, 277, 1299, 36, 3, 24
ArduinoJoystickLibrary, 128, 5, 1, 3, 358, 1693, 6, 12, 109
firebase-arduino, 564, 17, 5, 22, 476, 906, 4, 22, 206
Webduino, 133, 15, 4, 2, 208, 746, 0, 2, 18
LED_CUBE, 17, 3, 1, 1, 373, 1036, 1, 1, 4
ESP3D, 656, 11, 8, 6, 418, 1459, 15, 1, 15
433Utils, 68, 18, 2, 2, 335, 851, 0, 8, 48
NeoPixelBus, 333, 34, 2, 9, 231, 1054, 57, 4, 44
Wi-PWN, 285, 16, 7, 3, 280, 1206, 17, 3, 20
arduino-LoRa, 106, 17, 1, 2, 533, 1326, 0, 23, 137
esp8266-weather-station, 280, 26, 3, 3, 340, 965, 29, 2, 6
paper-signals, 22, 5, 2, 1, 109, 732, 0, 2, 14
vscode-arduino, 1033, 67, 6, 16, 181, 1003, 117, 15, 227
MPU9250, 128, 4, 1, 1, 399, 924, 0, 4, 383
ArduinoThread, 69, 10, 1, 1, 183, 872, 5, 6, 16
Repetier-Firmware, 1075, 39, 9, 4, 643, 788, 0, 17, 320
ESP8266Audio, 320, 43, 5, 1, 359, 1573, 13, 19, 157
Arduino-Temperature-Control-Library, 230, 36, 1, 4, 466, 891, 8, 0, 8
optiboot, 285, 25, 5, 2, 351, 960, 3, 9, 59
Adafruit_Sensor, 86, 18, 1, 2, 633, 846, 12, 0, 8
ArduinoOBD, 458, 2, 2, 1, 487, 857, 0, 8, 58
Sonoff-MQTT-OTA-Arduino, 224, 2, 6, 1, 199, 621, 3, 3, 55
arduino-lmic, 108, 7, 2, 5, 368, 684, 0, 1, 165
ESP32-Paxcounter, 3344, 35, 5, 3, 312, 1131, 68, 2, 16
attiny, 51, 7, 1, 4, 199, 680, 0, 7, 38
arduino-mqtt, 543, 14, 4, 1, 202, 859, 48, 3, 39
Brutal, 69, 3, 4, 1, 250, 890, 0, 1, 5
wrmhl, 39, 3, 2, 2, 63, 625, 1, 2, 15
howmanypeoplearearound, 123, 11, 2, 2, 383, 6697, 1, 4, 24
BossSensor, 61, 4, 1, 1, 1102, 6150, 0, 0, 23
haven, 987, 54, 5, 10, 728, 6302, 37, 3, 137
cartographer, 1176, 52, 9, 1, 2020, 6329, 5, 10, 197
maltrail, 85843, 37, 6, 6, 897, 4926, 42, 4, 68
LSTM-Human-Activity-Recognition, 29, 2, 2, 1, 902, 3093, 0, 2, 19
sensey, 262, 3, 2, 3, 269, 2654, 13, 0, 28
react-visibility-sensor, 263, 29, 2, 5, 187, 2259, 0, 17, 80
easydeviceinfo, 209, 4, 2, 3, 224, 1725, 16, 3, 10
Pedometer, 490, 26, 1, 1, 663, 1413, 3, 4, 31
VINS-Fusion, 41, 4, 6, 1, 1069, 2552, 0, 13, 157
