Name, #Commits, #Contributors, #Languages, #Brench, #Forks, #Stars, #Releases, #Pull request, #Iusses
python-machine-learning-book-2nd-edition, 198, 2, 5, 10, 2631, 6756, 0, 2, 33
roughViz, 133, 10, 2, 20, 214, 6429, 0, 15, 30
boltons, 1508, 67, 1, 4, 337, 6041, 19, 16, 61
lightning, 8624, 448, 9, 130, 2665, 21319, 123, 50, 620
industry-machine-learning, 159, 6, 1, 1, 1059, 6704, 0, 0, 0
data-science-blogs, 363, 86, 1, 1, 1281, 6026, 0, 7, 8
catboost, 45298, 172, 40, 14, 1064, 6894, 81, 33, 488
dvc, 8341, 253, 4, 10, 1012, 10981, 415, 8, 622
nteract, 11226, 156, 8, 136, 557, 5954, 66, 25, 183
pandas-profiling, 1221, 88, 9, 27, 1405, 10057, 39, 11, 140
data-science-from-scratch, 89, 6, 1, 3, 3800, 7421, 0, 24, 74
featuretools, 1231, 64, 2, 43, 825, 6472, 123, 2, 162
h2o-3, 31578, 161, 23, 2505, 1922, 6119, 0, 64, 64
smile, 3082, 51, 15, 9, 1091, 5664, 23, 0, 9
machine_learning_examples, 366, 4, 1, 1, 5691, 7191, 0, 23, 31
tsfresh, 522, 76, 4, 11, 1082, 7024, 12, 9, 66
Data-Analysis-and-Machine-Learning-Projects, 113, 8, 2, 1, 1896, 5443, 0, 1, 11
Data-Science-Wiki, 147, 16, 0, 2, 747, 4915, 0, 0, 6
d2l-en, 6275, 272, 5, 10, 3444, 16236, 14, 9, 66
edward, 1796, 76, 5, 21, 757, 4754, 28, 35, 221
pachyderm, 21558, 154, 12, 1198, 542, 5765, 364, 188, 884
imbalanced-learn, 805, 66, 4, 10, 1173, 6216, 31, 16, 51
knowledge-repo, 1222, 55, 10, 140, 674, 5260, 32, 4, 125
stanford-cs-230-deep-learning, 76, 2, 0, 1, 1212, 5594, 0, 0, 6
serenata-de-amor, 2364, 101, 7, 28, 664, 4438, 0, 19, 73
awesome-R, 422, 89, 1, 2, 1323, 5340, 0, 7, 8
rodeo, 1190, 5, 7, 11, 435, 3937, 39, 4, 233
DataSciencePython, 112, 7, 2, 1, 1313, 4716, 0, 10, 10
snorkel, 2684, 68, 1, 10, 830, 5379, 15, 1, 21
python-small-examples, 147, 3, 1, 3, 1626, 7340, 0, 1, 1
hydrogen, 2371, 78, 4, 9, 372, 3834, 92, 6, 171
courses, 261, 13, 7, 4, 9213, 3945, 0, 67, 93
cookiecutter-data-science, 147, 40, 4, 8, 1902, 6432, 1, 10, 51
Data-Science-Notes, 70, 1, 2, 1, 2917, 7138, 0, 4, 13
metaflow, 609, 62, 9, 66, 580, 6345, 69, 43, 247
pyod, 1651, 37, 2, 2, 1216, 6657, 34, 20, 160
Data-Analysis, 374, 5, 6, 3, 3463, 4590, 0, 3, 33
d2l-pytorch, 188, 23, 3, 2, 1061, 3990, 0, 4, 13
spark-notebook, 2326, 64, 10, 20, 644, 3127, 18, 0, 207
mlxtend, 1551, 82, 2, 8, 789, 4224, 26, 16, 128
probability, 11772, 360, 4, 28, 1002, 3845, 45, 70, 606
scikit-learn-videos, 54, 2, 2, 2, 2462, 3515, 0, 2, 2
tensorwatch, 112, 12, 3, 1, 349, 3275, 0, 1, 52
data-science-at-the-command-line, 432, 26, 11, 2, 723, 3428, 1, 10, 29
xlearn, 1342, 25, 10, 1, 527, 3032, 15, 11, 195
deep-learning-book, 298, 2, 2, 31, 718, 2741, 0, 0, 2
shogun, 17588, 179, 13, 60, 1035, 2925, 10, 11, 428
chartify, 200, 17, 2, 5, 293, 3260, 18, 4, 45
python-is-cool, 19, 5, 1, 1, 515, 3278, 0, 1, 3
computervision-recipes, 906, 40, 10, 26, 1080, 8813, 3, 6, 65
Learn_Data_Science_in_3_Months, 4, 1, 0, 1, 964, 2705, 0, 6, 9
polyaxon, 10032, 90, 0, 16, 319, 3238, 0, 2, 121
telegram-list, 2061, 327, 0, 2, 707, 3881, 0, 9, 13
LearnDataScience, 64, 5, 3, 2, 1552, 2830, 0, 4, 4
r4ds, 1860, 238, 3, 4, 3603, 3831, 1, 1, 6
gophernotes, 400, 28, 3, 4, 230, 3461, 17, 1, 53
datascience, 666, 12, 0, 1, 571, 3639, 0, 0, 0
orange3, 14602, 94, 6, 4, 864, 3913, 37, 23, 95
autogluon, 1502, 93, 2, 39, 673, 5260, 25, 27, 231
Flux.jl, 4638, 201, 1, 54, 543, 3978, 72, 76, 272
tablesaw, 2501, 73, 3, 14, 592, 3107, 79, 8, 109
prefect, 13787, 114, 11, 169, 1090, 11071, 163, 38, 706
lgo, 169, 6, 5, 3, 117, 2283, 0, 3, 26
